name,affiliation,homepage,scholarid
Krishnan Madhava Krishna,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/mkrishna,QDuPGHwAAAAJ
Krishnan Prasad,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/prasad.krishnan,tRbRF34AAAAJ
Krishnendu Mukhopadhyaya,ISI Kolkata,https://www.isical.ac.in/~krishnendu,NtcJrBwAAAAJ
Krithi Ramamritham,IIT Bombay,http://cuse.iitb.ac.in/people/faculty/krithi-ramamritham,LFLG5pcAAAAJ
Krothapalli S. Rao,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ
Krothapalli Sreenivasa Rao,IIT Kharagpur,https://cse.iitkgp.ac.in/~ksrao,TATEL2EAAAAJ
Kshitij Gajjar,IIT Jodhpur,https://www.tcs.tifr.res.in/~kshitij,2AO5VAsAAAAJ
Kuldeep Kumar,BITS Pilani,http://www.bits-pilani.ac.in/pilani/kuldeep/profile,RdiHr7UAAAAJ
Kunal Korgaonkar,BITS Pilani-Goa,https://www.bits-pilani.ac.in/goa/kunalk/profile,HZq-WzsAAAAJ
Kuntal Ghosh,ISI Kolkata,https://www.isical.ac.in/~kuntal,_ZvzkwIAAAAJ
L. Sunil Chandran,IISc Bangalore,http://www.csa.iisc.ac.in/~sunil,020isz4AAAAJ
Laiphrakpam Dolendro Singh,National Institute of Technology Silchar,http://cs.nits.ac.in/dolendro,FoGUkB0AAAAJ
Lavika Goel,BITS Pilani,http://www.bits-pilani.ac.in/pilani/lavikagoel/profile,S9hsnNoAAAAJ
Lawqueen Kanesh,IIT Jodhpur,https://sites.google.com/view/lawqueenkanesh/home,WD1JUOEAAAAJ
Laxminarayana S. Pillutla,DAIICT,http://intranet.daiict.ac.in/~laxminarayana_pillutla,_0RzZvAAAAAJ
M. Balakrishnan,IIT Delhi,http://www.cse.iitd.ernet.in/~mbala,Nt98A90AAAAJ
M. Narasimha Murty,IISc Bangalore,http://www.csa.iisc.ac.in/~mnm,VQZTmpcAAAAJ
M. Praveen,CMI,http://www.cmi.ac.in/~praveenm,xDgt2Z8AAAAJ
M. Srinivas,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16878,f8ZaxoEAAAAJ
M. V. Panduranga Rao,IIT Hyderabad,https://cse.iith.ac.in/?q=People/Faculty,WXSB53kAAAAJ
Madhav Rao,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=MadhavRao,B7Eg5RsAAAAJ
Madhavan Mukund,CMI,http://www.cmi.ac.in/~madhavan,NOSCHOLARPAGE
Madhu Mutyam,IIT Madras,http://www.cse.iitm.ac.in/~madhu,HS4VEdYAAAAJ
Mahantapas Kundu,Jadavpur University,http://jaduniv.edu.in/profile.php?uid=665,g8QqH7wAAAAJ
Mainack Mondal,IIT Kharagpur,https://cse.iitkgp.ac.in/~mainack,AUllGoAAAAAJ
Mainak Chaudhuri,IIT Kanpur,https://www.cse.iitk.ac.in/users/mainakc,-0GC4ZMAAAAJ
Makarand Tapaswi,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/Makarand,rJotb-YAAAAJ
Malay Bhattacharyya 0001,ISI Kolkata,https://www.isical.ac.in/~malaybhattacharyya,-emvWI8AAAAJ
Malaya Dutta Borah,National Institute of Technology Silchar,http://cs.nits.ac.in/malaya,I88D3q8AAAAJ
Manas Khatua,IIT Jodhpur,http://manaskhatua.github.io,TQshktIAAAAJ
Mandar Mitra,ISI Kolkata,https://www.isical.ac.in/~mandar,joWNRWwAAAAJ
Manik Lal Das,DAIICT,http://intranet.daiict.ac.in/~maniklal_das,wlTzQBMAAAAJ
Manindra Agrawal,IIT Kanpur,http://www.cse.iitk.ac.in/users/manindra,UBXqggoAAAAJ
Manish Gupta 0001,IIIT Bangalore,http://www.iiitb.ac.in/faculty_page.php?name=ManishGupta,dt_xftUAAAAJ
Manish Narwaria,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,RVc_D94AAAAJ
Manish Shrivastava 0001,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/m.shrivastava,sIvMnGQAAAAJ
Manish Singh 0002,IIT Hyderabad,https://www.iith.ac.in/~msingh,I1jX5vgAAAAJ
Manjubala Bisi,National Institute of Technology Warangal,https://wsdc.nitw.ac.in/facultynew/facultyprofile/id/16858,CEiwpuYAAAAJ
Manjunath V. Joshi,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,iDqnnKkAAAAJ
Manohar Kaul,IIT Hyderabad,http://www.iith.ac.in/~mkaul,jNroyK4AAAAJ
Manoj Gupta 0002,IIT Gandhinagar,http://www.iitgn.ac.in/faculty/comp/manoj.htm,PGzgTLoAAAAJ
Manoj M. Prabhakaran,IIT Bombay,http://mmp.cs.illinois.edu,FANRIhwAAAAJ
Manoj Mishra,NISER,https://www.niser.ac.in/users/manojmishra,NOSCHOLARPAGE
Manoj Misra,IIT Roorkee,http://www.iitr.ac.in/departments/CSE/pages/People+Faculty+manojfec.html,EwxWd40AAAAJ
Manoj Prabhakaran,IIT Bombay,http://mmp.cs.illinois.edu,FANRIhwAAAAJ
Manoj Singh Gaur,IIT Jammu,https://www.iitjammu.ac.in/computer_science_engineering/faculty-list/~manojsinghgaur,NOSCHOLARPAGE
Manu Kaul,IIT Hyderabad,http://www.iith.ac.in/~mkaul,jNroyK4AAAAJ
Maria Francis,IIT Hyderabad,https://sites.google.com/view/maria-francis/home,r5EduDsAAAAJ
Matthew J. Thazhuthaveetil,IISc Bangalore,http://www.csa.iisc.ac.in/~mjt,NOSCHOLARPAGE
Matthew Thazhuthaveetil,IISc Bangalore,http://www.csa.iisc.ac.in/~mjt,NOSCHOLARPAGE
Maunendra Sankar Desarkar,IIT Hyderabad,http://www.iith.ac.in/~maunendra,W8LJ-tEAAAAJ
Mausam,IIT Delhi,http://homes.cs.washington.edu/~mausam,5y4YmFcAAAAJ
Maya Ramanath,IIT Delhi,http://www.cse.iitd.ac.in/~ramanath,y6BXzxIAAAAJ
Mayank Singh 0001,IIT Gandhinagar,http://www.iitgn.ac.in/faculty/comp/mayank.htm,FOjZrQcAAAAJ
Mayank Vatsa,IIT Jodhpur,http://home.iitj.ac.in/~mvatsa,-DAxp-cAAAAJ
Md. Shad Akhtar,IIIT Delhi,https://www.iiitd.ac.in/shad,KUcO6LAAAAAJ
Medha Atre,IIT Kanpur,http://www.cse.iitk.ac.in/users/atrem,N_manZoAAAAJ
Meena Mahajan,IMSc,http://www.imsc.res.in/~meena,HYLNAGUAAAAJ
Meghana Nasre,IIT Madras,http://www.cse.iitm.ac.in/~meghana,NOSCHOLARPAGE
Milind A. Sohoni,IIT Bombay,https://www.cse.iitb.ac.in/~sohoni,QbF6h1AAAAAJ
Minal Bhise,DAIICT,http://www.daiict.ac.in/daiict/people/faculty.html,kYp_iIMAAAAJ
Mitesh M. Khapra,IIT Madras,http://www.cse.iitm.ac.in/~miteshk,DV8z8DYAAAAJ
Moumita Patra,IIIT Hyderabad,https://www.iiit.ac.in/people/faculty/moumita.patra,BIGZy7sAAAAJ
Mridul Nandi,ISI Kolkata,https://www.isical.ac.in/~mridul,WUzh8tgAAAAJ
Mridul Sankar Barik,Jadavpur University,http://jaduniv.edu.in/profile.php?uid=785,8fs7V4UAAAAJ
Mrinal Kumar 0001,Tata Inst. of Fundamental Research,https://mrinalkr.bitbucket.io,NOSCHOLARPAGE
Muhammad Abulaish,South Asian University,http://www.abulaish.com,2VMLm7gAAAAJ
Mukesh K. Mohania,IIIT Delhi,https://www.iiitd.ac.in/mukesh,zgaqvNQAAAAJ
Mukesh Kumar Rohil,BITS Pilani,http://www.bits-pilani.ac.in/pilani/rohil/profile,puTDrJkAAAAJ
Mukesh Kumar Saini,IIT Ropar,http://www.iitrpr.ac.in/cse/mukeshsaini,XpWL11EAAAAJ
